PPM,Dynamic Exception,Dynamic Exception Error,Dynamic Stackless,Dynamic Stackless Error,Flags,Flags Error,Inline Autobox,Inline Autobox Error,Inline Class,Inline Class Error,Result (Primitive),Result (Primitive) Error,Result (w/ Wrapper),Result (w/ Wrapper) Error,Sealed Class,Sealed Class Error,Static Exception,Static Exception Error
1,6.183,0.195,6.056,0.369,6.854,0.227,42.811,0.674,9.592,0.663,40.243,0.957,26.359,1.060,40.306,0.516,6.166,0.407
2,6.119,0.115,6.106,0.202,6.861,0.120,43.005,1.206,9.077,0.179,40.399,1.098,26.453,0.421,40.485,0.832,6.154,0.248
3,6.014,0.140,6.147,0.238,6.930,0.177,42.015,1.723,9.299,0.530,42.871,4.350,32.328,1.886,53.876,6.506,7.064,0.651
4,6.990,0.910,8.151,1.611,7.687,0.788,47.364,3.104,10.351,2.426,48.793,7.949,29.720,3.113,41.452,3.271,6.083,0.107
5,6.234,0.269,6.652,0.718,7.250,1.433,43.368,2.976,9.429,0.798,40.919,0.624,27.733,1.221,42.928,2.338,6.169,0.303
6,6.053,0.184,6.089,0.145,6.820,0.213,43.461,0.863,9.321,0.356,40.605,0.900,27.152,0.534,40.581,2.127,6.148,0.176
7,6.022,0.138,6.172,0.382,6.762,0.148,43.223,0.971,9.311,0.445,36.701,0.922,27.319,1.411,40.215,1.692,6.142,0.256
8,6.145,0.395,6.323,0.220,6.913,0.267,42.589,1.707,9.377,0.612,39.388,0.984,27.083,0.814,40.194,0.634,6.216,0.311
9,6.218,0.123,6.104,0.128,6.823,0.358,43.869,0.523,9.418,0.766,38.533,0.819,26.390,0.531,40.257,0.903,6.188,0.231
10,6.434,0.289,6.139,0.125,6.888,0.313,42.604,0.934,9.240,0.383,40.531,1.450,27.132,2.144,40.462,0.844,6.107,0.233
20,6.285,0.434,6.319,0.509,6.911,0.247,43.194,0.881,9.349,0.627,40.341,1.282,26.645,1.315,40.838,0.372,6.119,0.139
30,6.139,0.287,6.149,0.289,6.827,0.175,43.131,0.841,9.269,0.371,35.698,1.038,27.091,1.225,40.961,0.778,6.161,0.165
40,6.150,0.395,6.132,0.226,6.843,0.214,43.317,0.764,9.488,0.599,39.260,1.021,27.356,1.291,40.731,0.512,6.278,0.352
50,6.307,0.212,6.016,0.166,6.925,0.231,43.035,1.089,9.474,0.740,40.888,0.510,33.418,0.665,42.246,1.097,6.119,0.163
60,6.289,0.297,6.069,0.353,6.792,0.128,43.028,2.171,9.203,0.242,41.058,0.747,27.586,0.623,40.074,0.985,6.086,0.325
70,6.320,0.271,6.158,0.236,6.941,0.094,43.373,1.126,9.418,0.681,40.552,1.055,27.398,2.391,40.520,0.569,6.315,0.432
80,6.283,0.330,6.164,0.261,6.952,0.246,43.152,1.574,9.303,0.239,41.046,1.628,26.757,0.871,40.145,0.722,6.095,0.240
90,6.248,0.207,6.033,0.142,6.859,0.148,43.433,1.156,9.166,0.393,39.957,0.687,31.227,0.548,39.776,0.433,6.049,0.171
100,6.278,0.253,6.121,0.403,7.036,0.294,42.401,0.452,9.248,0.566,41.551,0.938,26.893,1.221,40.238,0.693,6.105,0.053
200,6.503,0.317,6.127,0.377,6.820,0.138,42.972,1.390,9.303,0.843,41.120,1.110,27.989,2.415,39.993,1.599,6.207,0.263
300,6.703,0.461,5.996,0.162,6.837,0.309,43.650,1.163,9.195,0.586,41.697,2.594,27.622,1.070,39.800,0.990,6.268,0.126
400,7.080,0.304,6.138,0.344,7.348,0.229,42.822,0.904,9.094,0.488,41.915,0.811,29.836,0.725,42.900,0.986,6.174,0.245
500,7.013,0.354,6.093,0.194,6.831,0.167,44.694,1.105,9.122,0.372,40.111,0.551,28.811,0.630,39.705,1.700,6.240,0.418
600,7.202,0.299,5.928,0.160,6.838,0.329,43.670,1.591,9.202,0.868,41.926,0.393,28.258,1.539,42.195,0.622,6.263,0.231
700,7.579,1.104,6.232,0.370,6.861,0.485,43.262,1.790,9.156,0.489,42.491,1.978,28.177,0.818,39.458,0.918,6.249,0.205
800,7.599,0.267,6.052,0.124,6.888,0.224,43.342,0.905,9.229,0.204,42.167,1.360,29.051,1.744,39.762,1.128,6.321,0.153
900,7.949,0.154,6.316,0.369,6.946,0.160,42.387,1.084,9.041,0.274,41.123,0.918,28.614,1.169,39.425,0.942,6.236,0.176
1000,8.240,0.193,6.139,0.096,6.767,0.267,42.909,1.147,9.043,0.187,43.203,0.950,29.707,0.404,42.194,0.379,6.174,0.188
2000,10.098,0.357,6.220,0.203,6.784,0.251,43.061,0.595,9.155,0.471,43.525,1.578,30.178,1.387,39.909,1.242,6.532,0.474
3000,12.315,0.871,6.586,0.306,6.850,0.290,42.554,1.159,9.256,0.590,46.649,2.250,32.748,0.754,42.669,1.322,6.555,0.183
4000,14.259,0.408,6.702,0.499,6.926,0.131,42.589,0.810,9.340,0.282,48.618,1.881,33.943,1.939,40.351,0.823,6.845,0.224
