PPM,Dynamic Exception,Dynamic Exception Error,Dynamic Stackless,Dynamic Stackless Error,Flags,Flags Error,Inline Autobox,Inline Autobox Error,Inline Class,Inline Class Error,Result (Primitive),Result (Primitive) Error,Result (w/ Wrapper),Result (w/ Wrapper) Error,Sealed Class,Sealed Class Error,Static Exception,Static Exception Error
5000,16.146,0.515,6.793,0.203,6.906,0.273,43.660,0.754,9.548,0.509,50.689,1.035,36.251,0.647,40.094,1.644,6.899,0.298
6000,18.148,0.250,7.078,0.373,6.906,0.185,42.837,1.566,9.255,0.352,53.400,1.232,37.924,1.286,42.641,1.377,6.998,0.238
7000,20.109,0.353,7.062,0.167,6.906,0.235,43.450,1.017,9.243,0.476,52.423,1.750,40.005,1.095,41.878,1.385,7.118,0.285
8000,22.382,0.812,7.359,0.196,7.293,0.298,43.281,0.426,9.525,0.414,50.335,1.536,41.388,0.725,42.031,0.998,7.424,0.339
9000,24.170,0.980,7.529,0.272,6.935,0.239,42.698,2.085,9.315,0.594,56.241,1.432,43.985,1.738,42.533,0.396,7.444,0.268
10000,26.148,0.347,7.653,0.193,7.065,0.183,42.681,0.351,9.272,0.211,58.040,0.674,45.431,1.444,42.489,1.620,7.716,0.149
20000,46.571,2.178,9.144,0.447,7.028,0.117,43.307,1.773,9.349,0.518,75.500,1.352,63.104,2.433,38.919,0.977,9.130,0.146
30000,66.813,1.579,10.600,0.382,7.033,0.243,43.011,1.140,9.507,0.575,93.788,1.494,83.651,2.911,41.928,1.087,10.508,0.241
40000,86.753,2.877,12.561,0.244,7.375,0.383,43.974,1.050,9.776,0.528,111.860,3.881,100.371,2.074,40.970,0.789,12.219,0.339
50000,106.523,1.934,14.101,0.354,7.481,0.362,44.339,1.054,9.823,0.255,130.190,1.402,117.295,1.737,40.777,1.467,13.582,0.491
60000,127.306,3.055,15.833,0.186,7.570,0.221,44.446,0.885,9.923,0.730,148.126,1.811,133.053,4.598,38.733,1.515,15.273,0.194
70000,147.424,4.284,17.862,0.322,7.559,0.647,43.892,0.992,10.084,0.833,166.345,3.368,153.747,3.542,39.641,0.438,16.623,0.115
80000,166.955,3.714,18.903,0.722,7.720,0.322,44.746,0.788,10.423,0.638,184.216,2.833,171.909,3.809,40.505,1.182,19.011,0.161
90000,191.178,3.407,21.247,1.373,7.842,0.187,44.482,1.113,10.245,0.658,199.649,9.321,187.788,6.222,40.346,1.002,19.639,0.404
100000,210.638,3.844,21.137,0.330,7.875,0.130,44.235,1.027,10.336,0.522,215.060,5.983,207.291,4.298,38.968,1.014,22.362,0.331
200000,404.556,8.173,36.657,1.139,9.153,0.206,45.238,1.464,12.344,0.447,398.072,10.639,387.375,7.263,36.314,0.724,35.605,0.795
300000,609.743,14.094,52.712,1.212,10.734,0.137,46.493,0.850,14.667,0.528,572.315,11.197,563.531,11.447,34.202,0.597,51.736,0.946
400000,812.623,9.466,66.477,0.964,11.485,0.277,47.693,1.417,16.060,0.273,743.756,13.015,765.926,21.562,31.091,0.380,67.676,0.884
500000,1008.725,15.110,85.019,1.549,12.107,0.103,49.669,0.849,16.683,0.289,933.946,23.031,924.165,16.509,27.273,0.260,76.242,1.426
600000,1218.518,16.615,98.335,2.509,11.209,0.153,48.845,1.594,14.876,0.149,1102.781,7.200,1115.809,26.566,23.528,0.564,92.361,0.899
700000,1390.165,28.861,109.453,1.748,9.385,0.223,47.090,1.297,13.297,0.185,1278.027,21.553,1287.420,25.057,18.919,0.552,105.592,1.804
800000,1595.849,24.073,120.236,1.607,8.062,0.188,45.680,0.864,12.477,0.255,1453.997,45.846,1445.547,27.852,14.829,0.292,119.130,15.138
900000,1809.549,39.010,133.475,3.591,6.095,0.093,43.365,1.102,8.112,0.308,1668.245,21.971,1681.776,13.452,10.653,0.363,131.730,3.667
