ppm;dynamicException;dynamicException:error;dynamicStackless;dynamicStackless:error;flags;flags:error;inlineAutobox;inlineAutobox:error;inlineClass;inlineClass:error;resultPrimitive;resultPrimitive:error;resultResultWrapper;resultResultWrapper:error;sealedClass;sealedClass:error;staticException;staticException:error;
50000;53.886;0.633;5.063;0.038;5.070;0.104;5.524;0.325;4.865;0.483;55.922;1.661;55.914;0.860;5.560;0.390;4.969;0.370;
60000;67.354;0.322;5.243;0.062;5.109;0.075;5.655;0.366;4.997;0.367;65.893;1.369;66.271;1.139;5.731;0.259;5.178;0.577;
70000;74.927;0.870;5.416;0.066;5.093;0.156;6.308;0.965;5.111;0.356;77.376;0.450;76.329;0.492;5.817;0.280;5.301;0.397;
80000;85.800;0.407;5.527;0.255;5.413;0.102;6.540;0.279;5.235;0.372;87.234;2.266;85.592;0.571;6.771;0.301;5.307;0.397;
90000;94.889;0.631;5.749;0.052;5.350;0.206;5.963;0.298;5.369;0.356;96.015;1.905;97.213;0.853;6.214;0.391;5.578;0.290;
100000;105.954;0.732;5.971;0.085;5.585;0.224;6.121;0.222;5.544;0.312;106.007;2.508;106.107;1.636;6.504;0.424;5.716;0.390;
200000;203.467;0.918;7.864;0.164;6.911;0.184;7.899;0.251;4.400;0.039;207.930;1.949;207.454;1.430;7.571;0.398;7.083;0.638;
300000;311.307;3.720;10.209;0.309;8.161;0.117;8.407;0.524;4.681;0.275;306.584;4.004;309.743;2.394;9.406;1.201;8.496;0.456;
400000;404.782;2.523;11.167;0.235;9.518;0.399;10.387;0.164;6.516;0.483;403.995;3.146;404.607;3.313;9.867;0.395;9.795;0.408;
500000;513.448;5.339;12.682;0.317;10.202;0.768;11.087;1.236;4.947;0.624;501.239;3.332;512.689;7.186;10.469;0.398;10.733;0.158;
600000;608.626;1.496;12.285;0.156;9.191;0.181;9.725;0.265;4.402;0.032;602.188;3.468;612.083;7.129;9.825;0.493;10.110;0.127;
700000;703.821;10.574;12.200;0.399;7.965;0.187;8.328;0.260;4.681;0.214;703.709;16.171;712.045;14.100;8.541;0.479;8.894;0.140;
800000;809.430;12.755;10.989;0.312;6.708;0.293;7.144;0.181;4.458;0.233;805.153;6.621;814.517;12.379;7.565;0.402;7.883;0.097;
900000;913.455;16.145;11.057;0.932;5.465;0.306;6.070;0.261;6.406;0.279;922.143;33.707;913.569;14.051;6.163;0.375;6.870;0.324;
