PPM,Dynamic Exception,Dynamic Exception Error,Dynamic Stackless,Dynamic Stackless Error,Flags,Flags Error,Inline Autobox,Inline Autobox Error,Inline Class,Inline Class Error,Result (Primitive),Result (Primitive) Error,Result (w/ Wrapper),Result (w/ Wrapper) Error,Sealed Class,Sealed Class Error,Static Exception,Static Exception Error
50000,77.078,0.671,11.608,1.119,8.182,0.567,38.887,0.572,10.027,0.805,102.353,1.340,89.751,1.434,32.537,0.566,10.705,0.379
60000,91.182,0.743,12.146,0.475,8.267,0.640,38.357,1.206,12.042,0.866,121.144,7.595,107.720,17.946,31.504,0.782,11.506,0.297
70000,105.938,1.024,13.384,0.639,8.372,0.607,39.178,0.258,10.235,0.658,130.673,4.729,120.367,2.660,31.883,2.474,12.451,0.311
80000,119.710,1.191,14.237,0.119,8.474,0.560,35.075,0.442,10.305,0.676,141.741,0.888,129.123,0.967,31.779,2.479,13.303,0.081
90000,134.456,1.846,15.280,0.572,8.582,0.617,39.091,0.478,10.434,0.731,157.891,2.162,141.718,0.834,31.619,2.367,14.498,0.400
100000,147.937,1.815,16.140,0.358,8.670,0.583,35.480,3.411,10.658,0.842,169.328,1.388,155.512,1.320,30.098,0.884,16.934,0.720
200000,292.221,2.572,26.193,0.681,10.628,0.794,40.867,1.349,12.756,0.344,305.230,3.912,287.205,5.144,29.140,0.859,24.836,0.395
300000,431.853,5.163,36.549,1.352,11.440,0.383,41.150,1.384,14.661,1.237,430.711,1.384,411.656,5.197,28.688,1.138,34.034,0.607
400000,575.989,8.127,46.563,1.320,12.555,0.653,43.990,1.052,15.793,0.819,558.089,4.458,551.174,15.848,26.487,0.756,43.758,0.306
500000,709.920,15.512,56.756,0.793,12.844,0.512,39.721,0.395,16.054,0.505,711.382,43.094,694.578,8.139,24.934,1.695,53.136,0.778
600000,852.763,12.787,63.838,0.689,11.736,0.236,39.053,0.582,14.192,0.608,827.444,14.045,811.413,13.357,20.969,0.201,59.756,0.885
700000,995.613,17.791,70.418,0.229,10.082,0.299,41.468,0.792,13.557,0.204,949.955,10.540,947.578,11.689,17.265,0.137,66.942,2.392
800000,1148.064,11.315,79.121,0.899,8.576,0.135,39.188,0.989,11.743,0.421,1086.959,6.244,1070.546,13.287,13.417,0.216,73.058,0.259
900000,1296.640,13.958,89.307,2.591,6.999,0.706,38.667,0.789,8.151,0.440,1200.819,11.324,1201.185,4.052,9.946,0.172,79.850,0.686
